concept,layer,target_class,mean_sign_count,std_sign_count,p_value,corrected_alpha,significant,direction,n_trials
strong_velocity,classifier.2,rock,0.4,0.5163977794943223,0.5554454421055854,0.0003787878787878788,False,not_significant,10
strong_velocity,classifier.2,traditional,0.1,0.31622776601683794,0.0031104283103858543,0.0003787878787878788,False,not_significant,10
wide_pitch_range,classifier.1,classical,0.28775847811433675,0.1850740720132525,0.0055158166678810835,0.0003787878787878788,False,not_significant,10
wide_pitch_range,classifier.1,country,0.6483968804159446,0.18652391385488193,0.03299081748162937,0.0003787878787878788,False,not_significant,10
wide_pitch_range,classifier.1,jazz,0.27831168831168834,0.16454664470414002,0.0021098020271497135,0.0003787878787878788,False,not_significant,10
wide_pitch_range,classifier.1,pop,0.6827140550139648,0.15043355171011233,0.003961377565871789,0.0003787878787878788,False,not_significant,10
wide_pitch_range,classifier.1,rock,0.5513066871975083,0.19183885133850379,0.4196137668605506,0.0003787878787878788,False,not_significant,10
wide_pitch_range,classifier.1,traditional,0.5237142866339003,0.1786472225851586,0.6844949740652572,0.0003787878787878788,False,not_significant,10
wide_pitch_range,classifier.2,classical,0.5,0.5270462766947299,1.0,0.0003787878787878788,False,not_significant,10
wide_pitch_range,classifier.2,country,0.1,0.31622776601683794,0.0031104283103858543,0.0003787878787878788,False,not_significant,10
wide_pitch_range,classifier.2,jazz,0.3,0.4830458915396479,0.22286835013351997,0.0003787878787878788,False,not_significant,10
wide_pitch_range,classifier.2,pop,0.8,0.4216370213557839,0.05100326070695074,0.0003787878787878788,False,not_significant,10
wide_pitch_range,classifier.2,rock,0.5,0.5270462766947299,1.0,0.0003787878787878788,False,not_significant,10
wide_pitch_range,classifier.2,traditional,0.3,0.4830458915396479,0.22286835013351997,0.0003787878787878788,False,not_significant,10
