concept,layer,target_class,mean_sign_count,std_sign_count,p_value,corrected_alpha,significant,direction,n_trials,effect,abs_effect,signed_effect_label
strong_velocity,classifier.1,traditional,0.5685714293888637,0.1703830554453575,0.2350268879209543,0.0003787878787878,False,not_significant,10,0.06857142938886374,0.06857142938886374,not_significant
strong_velocity,classifier.2,classical,0.1,0.3162277660168379,0.0031104283103858,0.0003787878787878,False,not_significant,10,-0.4,0.4,not_significant
strong_velocity,classifier.2,country,0.1,0.3162277660168379,0.0031104283103858,0.0003787878787878,False,not_significant,10,-0.4,0.4,not_significant
strong_velocity,classifier.2,jazz,0.0,0.0,,0.0003787878787878,False,not_significant,10,-0.5,0.5,not_significant
strong_velocity,classifier.2,pop,0.0,0.0,,0.0003787878787878,False,not_significant,10,-0.5,0.5,not_significant
strong_velocity,classifier.2,rock,0.4,0.5163977794943223,0.5554454421055854,0.0003787878787878,False,not_significant,10,-0.09999999999999998,0.09999999999999998,not_significant
strong_velocity,classifier.2,traditional,0.1,0.3162277660168379,0.0031104283103858,0.0003787878787878,False,not_significant,10,-0.4,0.4,not_significant
wide_pitch_range,classifier.1,classical,0.2877584781143367,0.1850740720132525,0.005515816667881,0.0003787878787878,False,not_significant,10,-0.2122415218856633,0.2122415218856633,not_significant
wide_pitch_range,classifier.1,country,0.6483968804159446,0.1865239138548819,0.0329908174816293,0.0003787878787878,False,not_significant,10,0.14839688041594457,0.14839688041594457,not_significant
wide_pitch_range,classifier.1,jazz,0.2783116883116883,0.16454664470414,0.0021098020271497,0.0003787878787878,False,not_significant,10,-0.2216883116883117,0.2216883116883117,not_significant
wide_pitch_range,classifier.1,pop,0.6827140550139648,0.1504335517101123,0.0039613775658717,0.0003787878787878,False,not_significant,10,0.18271405501396476,0.18271405501396476,not_significant
wide_pitch_range,classifier.1,rock,0.5513066871975083,0.1918388513385037,0.4196137668605506,0.0003787878787878,False,not_significant,10,0.051306687197508305,0.051306687197508305,not_significant
wide_pitch_range,classifier.1,traditional,0.5237142866339003,0.1786472225851586,0.6844949740652572,0.0003787878787878,False,not_significant,10,0.023714286633900294,0.023714286633900294,not_significant
wide_pitch_range,classifier.2,classical,0.5,0.5270462766947299,1.0,0.0003787878787878,False,not_significant,10,0.0,0.0,not_significant
wide_pitch_range,classifier.2,country,0.1,0.3162277660168379,0.0031104283103858,0.0003787878787878,False,not_significant,10,-0.4,0.4,not_significant
wide_pitch_range,classifier.2,jazz,0.3,0.4830458915396479,0.2228683501335199,0.0003787878787878,False,not_significant,10,-0.2,0.2,not_significant
wide_pitch_range,classifier.2,pop,0.8,0.4216370213557839,0.0510032607069507,0.0003787878787878,False,not_significant,10,0.30000000000000004,0.30000000000000004,not_significant
wide_pitch_range,classifier.2,rock,0.5,0.5270462766947299,1.0,0.0003787878787878,False,not_significant,10,0.0,0.0,not_significant
wide_pitch_range,classifier.2,traditional,0.3,0.4830458915396479,0.2228683501335199,0.0003787878787878,False,not_significant,10,-0.2,0.2,not_significant
